0.1,0.06366197723675814
0.2,0.12732395447351627
0.30000000000000004,0.19098593171027445
0.4,0.25464790894703254
0.5,0.3183098861837907
0.6,0.38197186342054884
0.7000000000000001,0.445633840657307
0.8,0.5092958178940651
0.9,0.5729577951308232
1.,0.6366197723675814
1.1,0.7002817496043395
1.2000000000000002,0.7639437268410978
1.3000000000000003,0.8276057040778559
1.4000000000000001,0.891267681314614
1.5000000000000002,0.9549296585513722
1.6,1.0185916357881302
1.7000000000000002,1.0822536130248885
1.8000000000000003,1.1459155902616467
1.9000000000000001,1.2095775674984046
2.,1.2732395447351628
2.1,1.336901521971921
2.2,1.400563499208679
2.3000000000000003,1.4642254764454374
2.4000000000000004,1.5278874536821956
2.5000000000000004,1.5915494309189537
2.6,1.6552114081557117
2.7,1.7188733853924698
2.8000000000000003,1.782535362629228
2.9000000000000004,1.8461973398659863
3.0000000000000004,1.9098593171027445
3.1,1.9735212943395024
3.2,2.0371832715762603
3.3000000000000003,2.1008452488130187
3.4000000000000004,2.164507226049777
3.5000000000000004,2.228169203286535
3.6,2.291831180523293
3.7,2.3554931577600513
3.8000000000000003,2.4191551349968092
3.9000000000000004,2.4828171122335676
4.,2.5464790894703255
4.1,2.6101410667070835
4.2,2.673803043943842
4.3,2.7374650211805998
4.3999999999999995,2.8011269984173577
4.5,2.864788975654116
4.6,2.928450952890874
4.7,2.992112930127633
4.8,3.0557749073643907
4.9,3.119436884601149
5.,"Indeterminate"
5.1,3.2235672588840267+0.*I
5.2,3.2457490164140013+0.*I
5.3,3.2569120998948935+0.*I
5.4,3.2597815834713284+0.*I
5.5,3.2559750418247937+0.*I
5.6,3.246600864673919+0.*I
5.7,"Indeterminate"
5.8,3.2142436755062023+0.*I
5.9,3.192405011925582+0.*I
6.,3.1673799337854405+0.*I
6.1,3.1395168462619316+0.*I
6.2,3.109110747577901+0.*I
6.3,3.076414279560044+0.*I
6.4,3.0416458578970924+0.*I
6.5,3.0049958133806607+0.*I
6.6,2.9666311330730175+0.*I
6.7,2.9266991883763804+0.*I
6.8,2.885330712631761+0.*I
6.9,2.8426422114923584+0.*I
7.,2.7987379370308134+0.*I
7.1,2.7537115211527268+0.*I
7.2,2.7076473393606655+0.*I
7.3,2.660621658548367+0.*I
7.4,2.6127036099784533+0.*I
7.5,2.563956019407182+0.*I
7.6,2.514436119474645+0.*I
7.7,2.464196164309936+0.*I
7.8,2.4132839623485203+0.*I
7.9,"Indeterminate"
8.,2.3096145488376227+0.*I
8.1,2.256934618621573+0.*I
8.2,2.203737673919089+0.*I
8.3,2.1500552096933885+0.*I
8.4,2.0959163372114475+0.*I
8.5,2.041348002353937+0.*I
8.6,1.9863751801837675+0.*I
8.7,1.931021048792605+0.*I
8.8,1.8753071450018897+0.*I
8.9,1.8192535041258995+0.*I
9.,1.762878785695523+0.*I
9.1,1.7062003867815898+0.*I
9.2,1.6492345443371192+0.*I
9.3,1.591996427791713+0.*I
9.4,1.534500222972796+0.*I
9.5,1.4767592082929444+0.*I
9.6,1.4187858240264293+0.*I
9.700000000000001,1.3605917353981134+0.*I
9.8,1.302187890121645+0.*I
9.9,1.2435845709492217+0.*I
10.,1.184791443730421+0.*I
10.1,1.1423372807871932+1.4135798584282298*^-15*I
10.200000000000001,1.113058764816287+7.067899292141149*^-16*I
10.3,1.0919719430337236+7.067899292141149*^-16*I
